id,cargo,distrito/circuns.,nombre,partido
1,Diputado,2,Gonzalo Prieto,PPD
2,Diputado,5,Gladys Barraza,DC
3,Diputado,7,Paz Anastasiadis,DC
4,Diputado,8,Mario Aguilar,IND
5,Diputado,8,Carolina Garrido,PS
6,Diputado,8,Andrea Ojeda,RN
7,Diputado,9,Rodrigo Mallea,CS
8,Diputado,10,Antonia Orellana,CS
9,Diputado,10,Laura Albornoz,DC
10,Diputado,10,Jaime Parada,PPD-IND
11,Diputado,10,Diego Riveaux,UDI
12,Diputado,11,Juan Enrique Pi,DC-IND
13,Diputado,11,Pauline Kantor,EVO
14,Diputado,11,Gonzalo de la Carrera,REP
15,Diputado,11,Cristián Araya,REP
16,Diputado,12,Pablo Maltés,PH
17,Diputado,14,Diego Calderon,DC
18,Diputado,14,Camila Briceño,DC
19,Diputado,18,Guillermo Ceroni,PPD
20,Diputado,20,María Angélica Fuentes,PPD
21,Diputado,26,Carmen Gloria Muñoz,DC
22,Diputado,26,Rodrigo Wainraight,RN
23,Senado,10ma,Jacqueline Van Rysselbergue,UDI
24,Senado,8va,Pablo Silva,PS
25,,,Rojo Edwards,REP
