fecha,encuestadora,n,prob,lavin,sichel,desbordes,briones,total,nsnr,total2
28-06-2021,Data Influye,1208,0,16.00,16.00,6.00,4.00,42.00,,42.00
28-06-2021,Data Influye,374,1,38.00,38.00,14.00,10.00,100.00,,100.00
17-06-2021,Cadem,703,0,24.00,15.00,9.00,6.00,54.00,15.00,69.00
17-06-2021,Cadem,133,1,46.00,23.00,10.00,11.00,90.00,7.00,97.00
11-06-2021,Activa Research,1226,0,51.50,22.20,3.80,6.90,84.40,8.60,93.00
11-06-2021,Activa Research,318,1,21.80,19.00,8.40,7.10,56.30,38.10,94.40
28-05-2021,Activa Research,1522,0,49.40,18.30,8.80,4.50,81.00,13.00,94.00
28-05-2021,Activa Research,436,1,27.20,16.70,8.50,2.30,54.70,37.50,92.20
20-05-2021,Cadem,705,0,41.00,25.00,15.00,15.00,96.00,,96.00
