candidato,lista,partido,área,nombre
C. Maldonado,Unidad Constituyente,PR,Comité Político,Alberto Robles
C. Maldonado,Unidad Constituyente,PR,Comité Político,Alexis Sepúlveda
C. Maldonado,Unidad Constituyente,PR,Comité Político,Jacqueline Castillo
C. Maldonado,Unidad Constituyente,PR,Comité Político,Mauricio Andrews
C. Maldonado,Unidad Constituyente,PR,Comité Político,Ricardo Navarrete
C. Maldonado,Unidad Constituyente,PR,Coord. General,Marcela Hernando
C. Maldonado,Unidad Constituyente,PR,E. Programático,Emilio Oñate
C. Maldonado,Unidad Constituyente,PR,E. Programático,Lorenna Saldías
C. Maldonado,Unidad Constituyente,PR,E. Programático,Valeria Villegas
C. Maldonado,Unidad Constituyente,PR,Economía,Fabián Duarte
C. Maldonado,Unidad Constituyente,PR,Economía,Roberto Álvarez
C. Maldonado,Unidad Constituyente,PR,Economía,Sergio Villegas
D. Jadue,Apruebo Dignidad,PC,E. Programático,Juan A. Lagos
D. Jadue,Apruebo Dignidad,PC,E. Programático,Kemy Oyarzún
D. Jadue,Apruebo Dignidad,PC,E. Programático,Jorge Coulon
D. Jadue,Apruebo Dignidad,PC,E. Programático,Camilo Sánchez
D. Jadue,Apruebo Dignidad,PC,E. Programático,Daniela Serrano
D. Jadue,Apruebo Dignidad,PC,Secretaría,Camila Vallejo
D. Jadue,Apruebo Dignidad,PC,Secretaría,Lautaro Carmona
G. Boric,Apruebo Dignidad,CS,Jefe Campaña,Javiera Cabello
G. Boric,Apruebo Dignidad,CS,Coord. General,Valeska Naranjo
G. Boric,Apruebo Dignidad,CS,Coord. General,Francisca Muñoz
G. Boric,Apruebo Dignidad,CS,Coord. General,Rocío González
G. Boric,Apruebo Dignidad,CS,Comité Político,Giorgio Jackson
G. Boric,Apruebo Dignidad,CS,Comité Político,Marcelo Díaz
G. Boric,Apruebo Dignidad,CS,Comité Político,Alondra Orellana
G. Boric,Apruebo Dignidad,CS,Comité Político,Catalina Pérez
G. Boric,Apruebo Dignidad,CS,Comité Político,Fernando Atria
G. Boric,Apruebo Dignidad,CS,Comité Político,Diego Corvalán
G. Boric,Apruebo Dignidad,CS,Comité Político,Lorena Fríes
G. Boric,Apruebo Dignidad,CS,E. Programático,Felipe Melo
G. Boric,Apruebo Dignidad,CS,E. Programático,Javiera Martínez
G. Boric,Apruebo Dignidad,CS,E. Programático,Diego Pardow
G. Boric,Apruebo Dignidad,CS,Territorial,Nataly Campusano
G. Boric,Apruebo Dignidad,CS,Contenidos,Felipe Heusser
G. Boric,Apruebo Dignidad,CS,E. Programático,Daniel Arancibia
G. Boric,Apruebo Dignidad,CS,E. Programático,Antonia Rozas
G. Boric,Apruebo Dignidad,CS,E. Programático,Adrián Sepúlveda
G. Boric,Apruebo Dignidad,CS,E. Programático,Camilo Araneda
G. Boric,Apruebo Dignidad,CS,Contenidos,Pablo Paredes
G. Boric,Apruebo Dignidad,CS,Contenidos,Paola Cano
G. Boric,Apruebo Dignidad,CS,E. Programático,Patricia Araya
G. Boric,Apruebo Dignidad,CS,E. Programático,Javiera Collao
I. Briones,Chile Vamos,EVO,Ciudadanía,Mathías Klotz
I. Briones,Chile Vamos,EVO,Constitucional,José García
I. Briones,Chile Vamos,EVO,Coord. General,Felipe Kast
I. Briones,Chile Vamos,EVO,Descentralización,Isabel Aninat
I. Briones,Chile Vamos,EVO,Descentralización,Javier de Iruarrizaga
I. Briones,Chile Vamos,EVO,Descentralización,María de la Paz
I. Briones,Chile Vamos,EVO,Descentralización,María P. Hermosilla
I. Briones,Chile Vamos,EVO,Descentralización,Ramiro Mendoza
I. Briones,Chile Vamos,EVO,E. Programático,Aldo Mascareño
I. Briones,Chile Vamos,EVO,E. Programático,Carolina García
I. Briones,Chile Vamos,EVO,E. Programático,Cristóbal Bellolio
I. Briones,Chile Vamos,EVO,E. Programático,Cristóbal Undurraga
I. Briones,Chile Vamos,EVO,E. Programático,Esteban Ovalle
I. Briones,Chile Vamos,EVO,E. Programático,Felipe Schwember
I. Briones,Chile Vamos,EVO,E. Programático,Fernando Medina
I. Briones,Chile Vamos,EVO,E. Programático,Francisco Carrillo
I. Briones,Chile Vamos,EVO,E. Programático,Jaime Guazzini
I. Briones,Chile Vamos,EVO,E. Programático,Luciano Cruz-Coke
I. Briones,Chile Vamos,EVO,E. Programático,Luis Cifuentes
I. Briones,Chile Vamos,EVO,E. Programático,Pamela Arellano
I. Briones,Chile Vamos,EVO,E. Programático,Paula Maureira
I. Briones,Chile Vamos,EVO,E. Programático,Rafael Sánchez
I. Briones,Chile Vamos,EVO,E. Programático,Raimundo Cruzat
I. Briones,Chile Vamos,EVO,E. Programático,Raphael Bergoeing
I. Briones,Chile Vamos,EVO,E. Programático,Valentina Verbal
I. Briones,Chile Vamos,EVO,Economía,Álvaro Fischer
I. Briones,Chile Vamos,EVO,Educación,Susana Claro
I. Briones,Chile Vamos,EVO,Impuestos,Claudio Agostini
I. Briones,Chile Vamos,EVO,Impuestos,Manuel Alcalde
I. Briones,Chile Vamos,EVO,Inclusión,Francisca Dussaillant
I. Briones,Chile Vamos,EVO,Inclusión,Mónica Álvarez
I. Briones,Chile Vamos,EVO,Infancia,Florencia Álamos
I. Briones,Chile Vamos,EVO,Inmigración,Guarequena Gutiérrez
I. Briones,Chile Vamos,EVO,Jefe Campaña,Javiera Parada
I. Briones,Chile Vamos,EVO,Medioambiente,Klaus Schmidt-Hebbel
I. Briones,Chile Vamos,EVO,Mujeres,Carolina Contreras
I. Briones,Chile Vamos,EVO,Pensiones,Gastón Illanes
I. Briones,Chile Vamos,EVO,Pensiones,Julio Riutort
I. Briones,Chile Vamos,EVO,Salud,Liliana Jadue
I. Briones,Chile Vamos,EVO,E. Programático,Francisca Cruz
I. Briones,Chile Vamos,EVO,E. Programático,Juan J. Obach
I. Briones,Chile Vamos,EVO,E. Programático,Sebastián Izquierdo
I. Briones,Chile Vamos,EVO,Territorial,Luz Poblete
I. Briones,Chile Vamos,EVO,Territorial,Tarek Giacaman
I. Briones,Chile Vamos,EVO,Indígenas,Rodrigo Huenchunam
I. Briones,Chile Vamos,EVO,Inclusión,Benjamín Saavedra
I. Briones,Chile Vamos,EVO,Contenidos,Felipe Cadiz
I. Briones,Chile Vamos,EVO,Contenidos,Tomás Dittborn
J. Lavín,Chile Vamos,UDI,Comité Político,Gonzalo Muller
J. Lavín,Chile Vamos,UDI,Comité Político,Paulo Adrían
J. Lavín,Chile Vamos,UDI,Comité Político,Miguel Fernández
J. Lavín,Chile Vamos,UDI,Comité Político,Francisco de la Maza
J. Lavín,Chile Vamos,UDI,Comité Político,Ernesto Silva
J. Lavín,Chile Vamos,UDI,E. Programático,Jorge Fuentes
J. Lavín,Chile Vamos,UDI,E. Programático,Felipe Salaberry
J. Lavín,Chile Vamos,UDI,E. Programático,Cristián Varela
J. Lavín,Chile Vamos,UDI,Economía,Anita Zaldívar
J. Lavín,Chile Vamos,UDI,Indígenas,Iván Cheuquelaf
J. Lavín,Chile Vamos,UDI,Jefe Campaña,Pilar Garnham
J. Lavín,Chile Vamos,UDI,Vocería,Rodolfo Carter
M. Desbordes,Chile Vamos,RN,Comité Político,Guido Benavides
M. Desbordes,Chile Vamos,RN,Comité Político,Rodrigo Barco
M. Desbordes,Chile Vamos,RN,Comité Político,Emardo Hantelmann
M. Desbordes,Chile Vamos,RN,Comité Político,Javier Molina
M. Desbordes,Chile Vamos,RN,Comité Político,José I. Pinochet
M. Desbordes,Chile Vamos,RN,Comité Político,José M. Arellano
M. Desbordes,Chile Vamos,RN,Comité Político,Katherine Martorell
M. Desbordes,Chile Vamos,RN,Comité Político,Samuel Valenzuela
M. Desbordes,Chile Vamos,RN,Contenidos,Camilo Morán
M. Desbordes,Chile Vamos,RN,Contenidos,Pablo Matamoros
M. Desbordes,Chile Vamos,RN,Contenidos,Gabriela Hurtado
M. Desbordes,Chile Vamos,RN,Coord. General,Andrés Maureira
M. Desbordes,Chile Vamos,RN,E. Programático,Verónica Campino
M. Desbordes,Chile Vamos,RN,Gobierno,Germán Vera
M. Desbordes,Chile Vamos,RN,Jefe Campaña,Hugo Herrera
P. Narváez,Unidad Constituyente,PS,Ciudadanía,Beatriz Rhamer
P. Narváez,Unidad Constituyente,PS,Ciudadanía,Camila Carrasco
P. Narváez,Unidad Constituyente,PS,Ciudadanía,María J. Escobar
P. Narváez,Unidad Constituyente,PS,Comité Político,Natalia Piergentili
P. Narváez,Unidad Constituyente,PS,Comité Político,Natalia Castillo
P. Narváez,Unidad Constituyente,PS,Comité Político,Karina Delfino
P. Narváez,Unidad Constituyente,PS,Comité Político,Heraldo Muñoz
P. Narváez,Unidad Constituyente,PS,Comité Político,Manuel Monsalve
P. Narváez,Unidad Constituyente,PS,Consejo Nacional,Carlos Montes
P. Narváez,Unidad Constituyente,PS,Consejo Nacional,Felipe Mella
P. Narváez,Unidad Constituyente,PS,Constitucional,Flavio Quezada
P. Narváez,Unidad Constituyente,PS,Contenidos,Catalina Lagos
P. Narváez,Unidad Constituyente,PS,Contenidos,Carolina Garrido
P. Narváez,Unidad Constituyente,PS,Coord. General,Pablo Vidal
P. Narváez,Unidad Constituyente,PS,E. Programático,Valentina Quiroga
P. Narváez,Unidad Constituyente,PS,E. Programático,Daniel Hojman
P. Narváez,Unidad Constituyente,PS,Inclusión,María S. Álamos
P. Narváez,Unidad Constituyente,PS,Inclusión,Erika Montecinos
P. Narváez,Unidad Constituyente,PS,Inclusión,María J. Cumplido
P. Narváez,Unidad Constituyente,PS,Inmigración,Yamile Cabrera
P. Narváez,Unidad Constituyente,PS,Jefe Campaña,Alessia Injoque
P. Narváez,Unidad Constituyente,PS,Mujeres,Carmen Andrade
P. Narváez,Unidad Constituyente,PS,Mujeres,Nicole Troncoso
P. Narváez,Unidad Constituyente,PS,Mujeres,Yolanda Pizarro
P. Narváez,Unidad Constituyente,PS,Territorial,Andrés Santander
P. Narváez,Unidad Constituyente,PS,Territorial,Iván Morán
P. Narváez,Unidad Constituyente,PS,Territorial,Sebastián Vergara
P. Narváez,Unidad Constituyente,PS,Vocería,Vlado Mirosevic
P. Narváez,Unidad Constituyente,PS,Vocería,Maya Fernández
P. Narváez,Unidad Constituyente,PS,Vocería,Natalia Castillo
P. Narváez,Unidad Constituyente,PS,Vocería,Andrea Parra
P. Narváez,Unidad Constituyente,PS,Vocería,Ricardo Lagos
P. Narváez,Unidad Constituyente,PS,Vocería,Álvaro Elizalde
P. Narváez,Unidad Constituyente,PS,Vocería,Claudio Castro
P. Narváez,Unidad Constituyente,PS,Vocería,Karina Delfino
P. Narváez,Unidad Constituyente,PS,Vocería,Carlos Cuadrado
S. Sichel,Chile Vamos,IND,Constitucional,Eugenio Evans
S. Sichel,Chile Vamos,IND,Coord. General,Macarena de La Calle
S. Sichel,Chile Vamos,IND,Cultura,Felipe Forteza
S. Sichel,Chile Vamos,IND,Economía,Esteban Jadresic
S. Sichel,Chile Vamos,IND,Economía,Paola Yáñez
S. Sichel,Chile Vamos,IND,Educación,Ana L. Durán
S. Sichel,Chile Vamos,IND,Educación,Sylvia Eyzaguirre
S. Sichel,Chile Vamos,IND,Fomento,Adrián Soto
S. Sichel,Chile Vamos,IND,Inclusión,Alberto Madrid
S. Sichel,Chile Vamos,IND,Juvenil,Joaquín Bórquez
S. Sichel,Chile Vamos,IND,Juvenil,Patricio Nawrath
S. Sichel,Chile Vamos,IND,Medioambiente,Mónica Gazmuri
S. Sichel,Chile Vamos,IND,Salud,Daisy Pezoa
S. Sichel,Chile Vamos,IND,Seguridad,Guillermo Holzmann
S. Sichel,Chile Vamos,IND,Vivienda,Héctor Navarrete
