id,año,cargo,nombre,partido_antiguo,partido_nuevo,fecha_cambio
,2021,Senador,Alejandro Guillier,IND,PRO,27-06-2021
3,2020,Diputado,Natalia Castillo,RD,NT-PL,30-12-2020
4,2020,Diputado,Pablo Vidal,RD,NT-PL,30-12-2020
1,2020,Diputado,Álvaro Carter,UDI,IND,19-07-2020
5,2020,Diputado,Virginia Troncoso,UDI,IND,17-07-2020
2,2020,Diputado,Diego Ibañez,PH,CS,09-03-2020
10,2020,Diputado,Gabriel Boric,PH-IND,CS,09-03-2020
11,2020,Diputado,Gael Yeomans,RD,CS,09-03-2020
12,2020,Diputado,Gonzalo Winter,RD,CS,09-03-2020
7,2019,Diputado,Carlos Jarpa,PR,IND,19-12-2019
9,2019,Diputado,Fernando Meza,PR,IND,19-12-2019
16,2019,Diputado,Pepe Auth,PR,IND,19-12-2019
15,2019,Diputado,Marisela Santibáñez,PRO,PC,19-03-2019
17,2019,Diputado,Renato Garín,RD,IND,05-03-2019
6,2019,Diputado,Camila Rojas,PI-IND,COM,20-01-2019
8,2019,Diputado,Claudia Mix,PODER,COM,20-01-2019
13,2018,Diputado,Ignacio Urrutia,UDI,REP,17-12-2018
